"1","F2","A2CW57","1822,724,1854,739","1"
"2","F2","A2CW56","1822,740,1854,755","2"
"3","F2","A2CW53","1788,763,1820,778","3"
"4","F2","A2CW55","1822,800,1854,815","4"
"5","F2","A2CW54","1822,817,1854,832","5"
"6","F2","A2CW47","1705,762,1737,777","6"
"7","F2","A2CW48","1705,780,1737,795","7"
"8","F2","A2CW51","1739,801,1771,816","8"
"9","F2","A2CW49","1705,840,1737,855","9"
"10","F2","A2CW50","1739,818,1771,833","10"
"11","F2","A2CW41","1623,840,1655,855","11"
"12","F2","A2CW45","1657,724,1689,739","12"
"13","F2","A2CW44","1657,741,1689,756","13"
"14","F2","A2CW43","1657,802,1689,817","14"
"15","F2","A2CW42","1657,818,1689,833","15"
"16","F2","A2CW39","1622,761,1654,776","16"
"17","F2","A2CW40","1622,778,1654,793","17"
"18","F2","A2CW32","1492,724,1524,739","18"
"19","F2","A2CW31","1492,740,1524,755","19"
"20","F2","A2CW28","1458,763,1490,778","20"
"21","F2","A2CW29","1458,780,1490,795","21"
"22","F2","A2CW30","1458,840,1490,855","22"
"23","F2","A2CW34","1541,762,1573,777","23"
"24","F2","A2CW35","1541,779,1573,794","24"
"25","F2","A2CW37","1575,801,1607,816","25"
"26","F2","A2CW36","1575,817,1607,832","26"
"27","F2","A2CW16","1376,763,1408,778","27"
"28","F2","A2CW17","1376,780,1408,795","28"
"29","F2","A2CW20","1409,800,1441,815","29"
"30","F2","A2CW19","1409,817,1441,832","30"
"31","F2","A2CW18","1375,840,1407,855","31"
"32","F2","A2CW08","1327,801,1359,816","32"
"33","F2","A2CW07","1327,817,1359,832","33"
"34","F2","A2CW09","1327,741,1359,756","34"
"35","F2","A2CW10","1327,725,1359,740","35"
"36","F2","A2CW05","1293,762,1325,777","36"
"37","F2","A2CW06","1293,780,1325,795","37"
"38","F2","A2CW04","1294,702,1326,717","38"
"39","F2","A2CW15","1376,702,1408,717","39"
"40","F2","A2CW27","1459,702,1491,717","40"
"41","F2","A2CW33","1541,701,1573,716","41"
"42","F2","A2CW38","1623,701,1655,716","42"
"43","F2","A2CW46","1706,702,1738,717","43"
"44","F2","A2CW52","1789,701,1821,716","44"
"45","F2","A2DW56A","1458,506,1490,521","45"
"46","F2","A2CW24","1458,568,1490,583","46"
"47","F2","A2CW25","1458,584,1490,599","47"
"48","F2","A2CW26","1458,644,1490,659","48"
"49","F2","A2DW44","1410,529,1442,544","49"
"50","F2","A2CW23","1410,546,1442,561","50"
"51","F2","A2CW13","1375,582,1407,597","51"
"52","F2","A2CW22","1410,606,1442,621","52"
"53","F2","A2CW21","1410,623,1442,638","53"
"54","F2","A2CW14","1375,644,1407,659","54"
"55","F2","A2CW12","1375,566,1407,581","55"
"56","F2","A2CW01","1294,568,1326,583","56"
"57","F2","A2DW30","1326,528,1358,543","57"
"58","F2","A2CW11","1326,545,1358,560","58"
"59","F2","A2CW02","1294,584,1326,599","59"
"60","F2","A2CW03","1293,644,1325,659","60"
"61","F2","A2DW43","1376,506,1408,521","61"
"62","F2","A2DW29","1292,506,1324,521","62"
"63","F2","A2CWP04","1740,729,1773,748","63"
"64","F2","A2CWP03","1575,728,1608,747","64"
"65","F2","A2CWP02","1409,729,1442,748","65"
"66","F2","A2CWP01","1327,613,1360,632","66"
"67","F2","A2DWP02","1179,390,1212,409","67"
"68","F2","A2DWP01","1014,390,1047,409","68"
"69","F2","A2DW04","980,421,1012,436","69"
"70","F2","A2DW03","980,361,1012,376","70"
"71","F2","A2DW02","980,344,1012,359","71"
"72","F2","A2DW01","981,283,1013,298","72"
"73","F2","A2DW05","1014,323,1046,338","73"
